image_id,file_path,name_image,upload_date,user_id,size,width,height,avg_red,avg_green,avg_blue,contrast,edges_detected,localisation,date_i
170,Data/train/no_label/00006_05.jpg,00006_05.jpg,2025-06-27 09:23:04.615752,4,56.087890625,600,600,134.620197222222,136.915783333333,134.185080555556,45.2774217147372,true,Bordeaux,null
171,Data/train/no_label/00007_00.jpg,00007_00.jpg,2025-06-27 09:23:04.890539,4,42.4375,600,600,151.126866666667,153.289219444444,151.752811111111,36.0454459784399,true,Nantes,null
172,Data/train/no_label/0000811427.jpg,0000811427.jpg,2025-06-27 09:23:05.080527,4,51.322265625,600,398,135.642269681742,133.793546901173,133.296185092127,60.0692358560936,true,Rennes,null
173,Data/train/no_label/00034_07.jpg,00034_07.jpg,2025-06-27 09:23:05.274891,4,39.5830078125,600,600,105.688183333333,112.430808333333,116.212077777778,57.8511920032775,true,Bordeaux,null
174,Data/train/no_label/00058_02.jpg,00058_02.jpg,2025-06-27 09:23:05.449942,4,80.4833984375,600,600,109.357813888889,113.701447222222,102.029913888889,54.6553205937185,true,Le Havre,null
175,Data/train/no_label/00081_06.jpg,00081_06.jpg,2025-06-27 09:23:05.58677,4,36.43359375,600,600,131.539275,136.785633333333,136.031941666667,46.0865588279403,true,Lille,null
176,Data/train/no_label/00081_07.jpg,00081_07.jpg,2025-06-27 09:23:05.686181,4,34.046875,600,600,128.575688888889,133.954063888889,133.030680555556,45.7531416016822,true,Rennes,null
177,Data/train/no_label/00085_03.jpg,00085_03.jpg,2025-06-27 09:23:05.759463,4,78.9990234375,600,600,107.408277777778,111.601747222222,111.553358333333,55.4738206182644,true,Lille,null
178,Data/train/no_label/00091_02.jpg,00091_02.jpg,2025-06-27 09:23:05.855911,4,42.494140625,600,600,105.308019444444,113.374902777778,117.792580555556,55.1333154528807,true,Paris,null
179,Data/train/no_label/00091_03.jpg,00091_03.jpg,2025-06-27 09:23:05.957519,4,38.40625,600,600,106.909191666667,115.269313888889,119.326383333333,55.6339859308515,true,Bordeaux,null
180,Data/train/no_label/00102_01.jpg,00102_01.jpg,2025-06-27 09:23:06.101174,4,39.533203125,600,600,133.939125,136.057063888889,136.347747222222,54.3436368833616,true,Lille,null
181,Data/train/no_label/00131_01.jpg,00131_01.jpg,2025-06-27 09:23:06.266371,4,51.4365234375,600,600,122.386525,121.602094444444,121.023380555556,53.4742984190294,true,Bordeaux,null
182,Data/train/no_label/00140_07.jpg,00140_07.jpg,2025-06-27 09:23:06.450408,4,47.796875,600,600,111.088677777778,114.639747222222,114.988191666667,52.6307232945349,true,Toulouse,null
183,Data/train/no_label/00152_06.jpg,00152_06.jpg,2025-06-27 09:23:06.643859,4,79.515625,600,600,116.739477777778,118.189566666667,115.181272222222,48.2366436285156,true,Le Havre,null
184,Data/train/no_label/00175_05.jpg,00175_05.jpg,2025-06-27 09:23:06.885336,4,39.75,600,600,128.039333333333,131.623419444444,128.482025,48.9647827530792,true,Nice,null
185,Data/train/no_label/00185_01.jpg,00185_01.jpg,2025-06-27 09:23:07.040548,4,61.2998046875,600,600,119.367672222222,124.437369444444,119.3421,49.4312218111222,true,Le Havre,null
186,Data/train/no_label/00279_01.jpg,00279_01.jpg,2025-06-27 09:23:07.208282,4,56.8193359375,600,600,98.6099666666667,101.713355555556,99.4857,60.3293097898603,true,Nantes,null
187,Data/train/no_label/00562_00.jpg,00562_00.jpg,2025-06-27 09:23:07.314438,4,38.705078125,600,600,104.585791666667,113.721761111111,117.70945,55.4589039064786,true,Toulouse,null
188,Data/train/no_label/00573_04.jpg,00573_04.jpg,2025-06-27 09:23:07.445525,4,63.5712890625,600,600,97.8383638888889,102.392325,101.613077777778,51.789066082358,true,Le Havre,null
189,Data/train/no_label/00595_05.jpg,00595_05.jpg,2025-06-27 09:23:07.575516,4,53.1396484375,600,600,115.039388888889,117.487022222222,116.126041666667,44.7011069923074,true,Paris,null
190,Data/train/no_label/00605_06.jpg,00605_06.jpg,2025-06-27 09:23:07.677264,4,77.154296875,600,600,115.145513888889,116.650322222222,112.193841666667,58.4978103885955,true,Reims,null
191,Data/train/no_label/00659_02.jpg,00659_02.jpg,2025-06-27 09:23:07.781614,4,70.041015625,600,600,128.459844444444,129.524861111111,123.853961111111,50.1991325971493,true,Bordeaux,null
192,Data/train/no_label/00663_05.jpg,00663_05.jpg,2025-06-27 09:23:07.857975,4,105.2578125,600,600,115.485905555556,116.617705555556,111.58375,51.3311099040274,true,Lille,null
193,Data/train/no_label/00674_06.jpg,00674_06.jpg,2025-06-27 09:23:07.912546,4,98.4990234375,600,600,120.061341666667,121.621255555556,121.150652777778,45.7643956640209,true,Paris,null
194,Data/train/no_label/00835_06.jpg,00835_06.jpg,2025-06-27 09:23:07.966115,4,92.2470703125,600,600,120.300111111111,123.172494444444,115.384958333333,58.1186912447903,true,Paris,null
195,Data/train/no_label/00895_02.jpg,00895_02.jpg,2025-06-27 09:23:08.031745,4,54.6396484375,600,600,127.509211111111,131.279486111111,130.730997222222,49.417655553051,true,Toulouse,null
196,Data/train/no_label/00903_01.jpg,00903_01.jpg,2025-06-27 09:23:08.113408,4,84.3154296875,600,600,116.203080555556,115.505263888889,112.752452777778,48.1334834200851,true,Rennes,null
197,Data/train/no_label/00957_07.jpg,00957_07.jpg,2025-06-27 09:23:08.206751,4,90.2890625,600,600,134.761280555556,137.925152777778,137.504733333333,52.0744115437375,true,Nantes,null
198,Data/train/no_label/00984_02.jpg,00984_02.jpg,2025-06-27 09:23:08.306401,4,55.4814453125,600,600,95.4680833333333,100.543111111111,107.293833333333,53.7041494273002,true,Toulouse,null
199,Data/train/no_label/01010_06.jpg,01010_06.jpg,2025-06-27 09:23:08.433581,4,61.9697265625,600,600,124.042933333333,125.153930555556,123.83005,52.2879724214655,true,Marseille,null
200,Data/train/no_label/01010_07.jpg,01010_07.jpg,2025-06-27 09:23:08.529138,4,77.279296875,600,600,109.06015,110.145194444444,108.658066666667,46.9862122856701,true,Lyon,null
201,Data/train/no_label/01021_03.jpg,01021_03.jpg,2025-06-27 09:23:08.610433,4,104.076171875,600,600,124.681747222222,132.126694444444,133.960561111111,49.3543652912595,true,Strasbourg,null
202,Data/train/no_label/01033_02.jpg,01033_02.jpg,2025-06-27 09:23:08.677936,4,83.56640625,600,600,126.210413888889,127.324822222222,125.657086111111,35.9595956663479,true,Le Havre,null
203,Data/train/no_label/01053_00.jpg,01053_00.jpg,2025-06-27 09:23:08.763592,4,63.021484375,600,600,126.235830555556,128.202877777778,122.832525,53.3036480050456,true,Nantes,null
